title,year,language,genres,rt_score,rt_url,reason,added_to_radarr
Judgment at Nuremberg,1961,English,Drama,93,https://www.rottentomatoes.com/m/judgment_at_nuremberg,Accepted: RT 93 meets threshold 85,true
The Sand Pebbles,1966,English,Adventure,85,https://www.rottentomatoes.com/m/sand_pebbles,Accepted: RT 85 meets threshold 85,true
"Rachel, Rachel",1968,English,Drama,92,https://www.rottentomatoes.com/m/rachel_rachel,Accepted: RT 92 meets threshold 85,true
Romeo and Juliet,1968,English,Romance,95,https://www.rottentomatoes.com/m/romeo_and_juliet_1968,Accepted: RT 95 meets threshold 85,true
The French Connection,1971,English,Crime|Drama|Mystery & Thriller,97,https://www.rottentomatoes.com/m/french_connection,Accepted: RT 97 meets threshold 85,true
The Emigrants,1972,Swedish,Drama,94,https://www.rottentomatoes.com/m/emigrants,Accepted: RT 94 meets threshold 85,true
Sounder,1972,English,Drama,91,https://www.rottentomatoes.com/m/sounder,Accepted: RT 91 meets threshold 85,true
American Graffiti,1973,English,Comedy|Drama,95,https://www.rottentomatoes.com/m/american_graffiti,Accepted: RT 95 meets threshold 85,true
A Touch of Class,1973,English,Romance|Comedy,86,https://www.rottentomatoes.com/m/touch_of_class,Accepted: RT 86 meets threshold 85,true
Midnight Express,1978,English,Drama|Biography|Crime,90,https://www.rottentomatoes.com/m/midnight_express,Accepted: RT 90 meets threshold 85,true
An Unmarried Woman,1978,English,Drama,89,https://www.rottentomatoes.com/m/unmarried_woman,Accepted: RT 89 meets threshold 85,true
Breaking Away,1979,English,Comedy|Drama,95,https://www.rottentomatoes.com/m/breaking_away,Accepted: RT 95 meets threshold 85,true
Norma Rae,1979,English,Drama,91,https://www.rottentomatoes.com/m/norma_rae,Accepted: RT 91 meets threshold 85,true
Tootsie,1982,English,Comedy|LGBTQ+,91,https://www.rottentomatoes.com/m/tootsie,Accepted: RT 91 meets threshold 85,true
The Verdict,1982,English,Drama,88,https://www.rottentomatoes.com/m/verdict,Accepted: RT 88 meets threshold 85,true
The Dresser,1983,English,Comedy|Drama,100,https://www.rottentomatoes.com/m/dresser,Accepted: RT 100 meets threshold 85,true
Places in the Heart,1984,English,Drama,90,https://www.rottentomatoes.com/m/places_in_the_heart,Accepted: RT 90 meets threshold 85,true
A Soldier's Story,1984,English,Mystery & Thriller,91,https://www.rottentomatoes.com/m/soldiers_story,Accepted: RT 91 meets threshold 85,true
Kiss of the Spider Woman,1985,English,Drama,88,https://www.rottentomatoes.com/m/kiss_of_the_spider_woman,Accepted: RT 88 meets threshold 85,true
Prizzi's Honor,1985,English,Romance|Comedy,85,https://www.rottentomatoes.com/m/prizzis_honor,Accepted: RT 85 meets threshold 85,true
Hannah and Her Sisters,1986,English,Comedy|Drama,92,https://www.rottentomatoes.com/m/hannah_and_her_sisters,Accepted: RT 92 meets threshold 85,true
A Room with a View,1986,English,Drama,100,https://www.rottentomatoes.com/m/room_with_a_view_1986,Accepted: RT 100 meets threshold 85,true
Hope and Glory,1987,English,Comedy|Drama,96,https://www.rottentomatoes.com/m/hope_and_glory,Accepted: RT 96 meets threshold 85,true
Dangerous Liaisons,1988,English,Drama,91,https://www.rottentomatoes.com/m/dangerous_liaisons_1988,Accepted: RT 91 meets threshold 85,true
Quiz Show,1994,English,Drama,97,https://www.rottentomatoes.com/m/quiz_show,Accepted: RT 97 meets threshold 80,true
Shine,1996,English,Biography|Drama,91,https://www.rottentomatoes.com/m/shine,Accepted: RT 91 meets threshold 80,true
Milk,2008,English,Biography|Drama|LGBTQ+,93,https://www.rottentomatoes.com/m/milk,Accepted: RT 93 meets threshold 90,true
The Artist,2011,French,Romance|Comedy|Drama,95,https://www.rottentomatoes.com/m/the_artist,Accepted: RT 95 meets threshold 90,true
