title,year,normalized_title,key,jellyfin_id,tmdb_id,imdb_id
10 Cloverfield Lane,2016,10 cloverfield lane,10 cloverfield lane|2016,4858b91cc3b907374c754dbf6aba754a,333371,tt1179933
The 100 Year-Old Man Who Climbed Out the Window and Disappeared (2013),2013,100 year old man who climbed out the window and disappeared,100 year old man who climbed out the window and disappeared|2013,e8251a0f22fad008ea6955ef30480be0,145247,tt2113681
101 Dalmatians II- Patch's London Adventure (2003),2003,101 dalmatians ii patchs london adventure,101 dalmatians ii patchs london adventure|2003,9871baeb10c8b3ba4a15e45da675348e,13654,tt0324941
101 Dalmatians (1996),1996,101 dalmatians,101 dalmatians|1996,eb2642841204854ad50634046c3582a7,11674,tt0115433
102 Dalmatians (2000),2000,102 dalmatians,102 dalmatians|2000,a909cca9f258e6b0cf19896f233ef435,10481,tt0211181
12 Angry Men (1957),1957,12 angry men,12 angry men|1957,6f91cc00274c152f97205e37e78bade2,389,tt0050083
12 Years a Slave (2013),2013,12 years a slave,12 years a slave|2013,c877336053b953de1b3dc21bf3f2efd9,76203,tt2024544
127 Hours,2010,127 hours,127 hours|2010,20849abb9e118f5630d528680264088b,44115,tt1542344
13 Assassins (2010),2010,13 assassins,13 assassins|2010,b024184617d3536dfe917773c015630f,58857,tt1436045
13 Going on 30 (2004),2004,13 going on 30,13 going on 30|2004,0f8474a2b7aefcbb597f23990d8f4dbb,10096,tt0337563
13 Hours- The Secret Soldiers of Benghazi (2016),2016,13 hours the secret soldiers of benghazi,13 hours the secret soldiers of benghazi|2016,2faf0064bc8dd79d54267a88fb718f1f,300671,tt4172430
13th (2016),2016,13th,13th|2016,f6f7d5b329aeea83f20a593047a4c357,407806,tt5895028
1408 (2007),2007,1408,1408|2007,1253cd4d81d9130dc37cc2ae36c2d14c,3021,tt0450385
16 Blocks (2006),2006,16 blocks,16 blocks|2006,2dfca35642db4fb66a4797c0e9318f23,2207,tt0450232
2 Fast 2 Furious,2003,2 fast 2 furious,2 fast 2 furious|2003,f228c98aa616f6d41ba5c163ef618a1b,584,tt0322259
2 Guns,2013,2 guns,2 guns|2013,f82ef0857d5805af587d6c47490a2c46,136400,tt1272878
2001: A Space Odyssey,1968,2001 a space odyssey,2001 a space odyssey|1968,1ed83eb6195736ea96fe250375e5feae,62,tt0062622
2010 (1984),1984,2010,2010|1984,e9540b589eb307e95c87897d59b859e2,4437,tt0086837
22 Jump Street,2014,22 jump street,22 jump street|2014,0787e93a789719cef2d2e6e45e793598,187017,tt2294449
25th Hour (2002),2002,25th hour,25th hour|2002,14204f7e6f50d6a93210018f2d3e76b5,1429,tt0307901
3:10 to Yuma,2007,3 10 to yuma,3 10 to yuma|2007,69570be4c62a8c7cc244af04a2ebfafc,5176,tt0381849
300: Rise of an Empire,2014,300 rise of an empire,300 rise of an empire|2014,389e95d05577613c36dfe1922063989b,53182,tt1253863
The 40 Year Old Virgin (2005),2005,40 year old virgin,40 year old virgin|2005,b5720739bea6eb9c2180842e54379bcb,6957,tt0405422
42 (2013),2013,42,42|2013,6107d4abcfaf884b141a1f8f1b436d9f,109410,tt0453562
50 First Dates,2004,50 first dates,50 first dates|2004,e94b5b5c050bbc583c30a6f2096707ae,1824,tt0343660
(500) Days of Summer,2009,500 days of summer,500 days of summer|2009,1173a10df3b7aafecada52a0659e18f7,19913,tt1022603
7 Seconds (2005),2005,7 seconds,7 seconds|2005,3c0e3bca557f3aec75261f4dac717252,9721,tt0417395
'71,2014,71,71|2014,a45e5d992997c80ddbd71be7eaeb938b,252178,tt2614684
8 Mile (2002),2002,8 mile,8 mile|2002,9c1ab2951a95c8ff0fab0d056150d083,65,tt0298203
